#COUNT	ENDPOINT
0	get /agendaevents
0	post /agendaevents
0	delete /agendaevents/{id}
0	get /agendaevents/{id}
0	put /agendaevents/{id}
0	get /bankaccounts
0	post /bankaccounts
0	delete /bankaccounts/{id}
0	get /bankaccounts/{id}
0	put /bankaccounts/{id}
0	get /bankaccounts/{id}/lines
0	post /bankaccounts/{id}/lines
0	delete /bankaccounts/{id}/lines/{line_id}
0	put /bankaccounts/{id}/lines/{line_id}
0	get /bankaccounts/{id}/lines/{line_id}/links
0	post /bankaccounts/{id}/lines/{line_id}/links
0	post /bankaccounts/transfer
0	get /categories
0	post /categories
0	delete /categories/{id}
0	get /categories/{id}
0	put /categories/{id}
0	get /categories/{id}/objects
0	delete /categories/{id}/objects/{type}/{object_id}
0	post /categories/{id}/objects/{type}/{object_id}
0	delete /categories/{id}/objects/{type}/ref/{object_ref}
0	post /categories/{id}/objects/{type}/ref/{object_ref}
0	get /categories/object/{type}/{id}
1	get /contacts
0	post /contacts
0	delete /contacts/{id}
1	get /contacts/{id}
0	put /contacts/{id}
1	get /contacts/{id}/categories
0	delete /contacts/{id}/categories/{category_id}
0	put /contacts/{id}/categories/{category_id}
0	post /contacts/{id}/createUser
1	get /contacts/email/{email}
0	get /contracts
0	post /contracts
0	delete /contracts/{id}
0	get /contracts/{id}
0	put /contracts/{id}
0	post /contracts/{id}/close
0	get /contracts/{id}/lines
0	post /contracts/{id}/lines
0	delete /contracts/{id}/lines/{lineid}
0	put /contracts/{id}/lines/{lineid}
0	put /contracts/{id}/lines/{lineid}/activate
0	put /contracts/{id}/lines/{lineid}/unactivate
0	post /contracts/{id}/validate
0	delete /documents
0	get /documents
0	put /documents/builddoc
0	get /documents/download
0	post /documents/upload
0	get /donations
0	post /donations
0	delete /donations/{id}
0	get /donations/{id}
0	put /donations/{id}
0	post /donations/{id}/validate
0	get /expensereports
0	post /expensereports
0	delete /expensereports/{id}
0	get /expensereports/{id}
0	put /expensereports/{id}
0	post /expensereports/{id}/payments
0	put /expensereports/{id}/payments
0	get /expensereports/payments
0	get /expensereports/payments/{pid}
1	get /interventions
0	post /interventions
0	delete /interventions/{id}
1	get /interventions/{id}
0	post /interventions/{id}/close
0	post /interventions/{id}/lines
0	post /interventions/{id}/validate
1	get /invoices
0	post /invoices
0	delete /invoices/{id}
1	get /invoices/{id}
0	put /invoices/{id}
0	delete /invoices/{id}/contact/{contactid}/{type}
0	post /invoices/{id}/contact/{contactid}/{type}
0	post /invoices/{id}/contacts
1	get /invoices/{id}/discount
1	get /invoices/{id}/lines
0	post /invoices/{id}/lines
0	delete /invoices/{id}/lines/{lineid}
0	put /invoices/{id}/lines/{lineid}
0	post /invoices/{id}/markAsCreditAvailable
1	get /invoices/{id}/payments
0	post /invoices/{id}/payments
0	post /invoices/{id}/settodraft
0	post /invoices/{id}/settopaid
0	post /invoices/{id}/settounpaid
0	post /invoices/{id}/usecreditnote/{discountid}
0	post /invoices/{id}/usediscount/{discountid}
0	post /invoices/{id}/validate
0	post /invoices/createfromcontract/{contractid}
0	post /invoices/createfromorder/{orderid}
0	put /invoices/payments/{id}
0	post /invoices/paymentsdistributed
1	get /invoices/ref_ext/{ref_ext}
1	get /invoices/ref/{ref}
1	get /invoices/templates/{id}
0	get /login
0	post /login
1	get /members
0	post /members
0	delete /members/{id}
1	get /members/{id}
0	put /members/{id}
1	get /members/{id}/categories
1	get /members/{id}/subscriptions
0	post /members/{id}/subscriptions
1	get /members/thirdparty/{thirdparty}
1	get /members/thirdparty/barcode/{barcode}
1	get /members/thirdparty/email/{email}
1	get /members/types
0	post /members/types
0	delete /members/types/{id}
0	get /members/types/{id}
0	put /members/types/{id}
2	get /orders
0	post /orders
0	delete /orders/{id}
2	get /orders/{id}
0	put /orders/{id}
0	post /orders/{id}/close
0	delete /orders/{id}/contact/{contactid}/{type}
0	post /orders/{id}/contact/{contactid}/{type}
1	get /orders/{id}/contacts
1	get /orders/{id}/lines
0	post /orders/{id}/lines
0	delete /orders/{id}/lines/{lineid}
0	put /orders/{id}/lines/{lineid}
0	post /orders/{id}/reopen
0	post /orders/{id}/setinvoiced
1	post /orders/{id}/settodraft
2	get /orders/{id}/shipment
1	post /orders/{id}/shipment/{warehouse_id}
1	post /orders/{id}/validate
0	post /orders/createfromproposal/{proposalid}
1	get /orders/ref_ext/{ref_ext}
1	get /orders/ref/{ref}
0	get /products
0	post /products
0	delete /products/{id}
1	get /products/{id}
0	put /products/{id}
0	get /products/{id}/categories
0	get /products/{id}/purchase_prices
0	post /products/{id}/purchase_prices
0	delete /products/{id}/purchase_prices/{priceid}
0	get /products/{id}/selling_multiprices/per_customer
0	get /products/{id}/selling_multiprices/per_quantity
0	get /products/{id}/selling_multiprices/per_segment
0	get /products/{id}/stock
0	get /products/{id}/subproducts
0	post /products/{id}/subproducts/add
0	delete /products/{id}/subproducts/remove/{subproduct_id}
0	get /products/{id}/variants
0	post /products/{id}/variants
0	get /products/attributes
0	post /products/attributes
0	delete /products/attributes/{id}
0	get /products/attributes/{id}
0	put /products/attributes/{id}
